prmca_pco_ofici	prmca_pco_moned	prmca_pco_produc	prmca_pnu_contr	prmca_pmo_maxim	prmca_pmo_utiliz	prmca_pmo_reserv	prmca_psa_discon	prmca_psa_conta	saldo_actual_giros	monto_mitigador
290	1	0	2401505	50000000.00	45249155.97	0.00	4750844.03	4750844.03	42686736.44	169096290.40	
290	1	0	2401507	30000000.00	21000000.00	0.00	9000000.00	9000000.00	21000000.00	30000000.00	
280	2	0	2401511							474013902.06	
290	1	0	2401514	25000000.00	16137403.42	0.00	8862596.58	8862596.58	16137403.42	26845291.25	
245	1	0	2401515	65000000.00	0.00	0.00	65000000.00	65000000.00	0.00	65000000.00	
345	1	0	2401516	5000000.00	0.00	0.00	5000000.00	5000000.00	0.00	4000000.00	
230	1	0	2401522	75000000.00	71038679.43	0.00	3961320.57	3961320.57	54814303.89	99765673.02	
954	2	3	2401524							543223800.00	
483	1	0	2401526	50000000.00	0.00	0.00	0.00	0.00	0.00	106535228.90	
334	1	0	2401527	10000000.00	4962785.44	0.00	5037214.56	5037214.56	4962785.44	15566347.45	
255	1	0	2401528	11000000.00	0.00	0.00	0.00	0.00	0.00	12378158.11	
265	1	0	2401530	16000000.00	13683797.56	0.00	2316202.44	2316202.44	13661545.06	16372299.40	
290	1	0	2401531	75000000.00	26731919.15	0.00	48268080.85	48268080.85	26731919.15	153643880.44	
215	1	0	2401535	92000000.00	37955000.00	0.00	54045000.00	54045000.00	37955000.00	197033600.00	
297	1	0	2401536	50000000.00	28319304.25	0.00	21680695.75	21680695.75	28319304.25	50000000.00	
947	2	3	2401544							0.00	
954	1	0	2401545	200000000.00	0.00	0.00	0.00	0.00	0.00	217651882.67	
660	1	0	2401548	50000000.00	23553717.51	0.00	26446282.49	26446282.49	23553717.51	50000000.00	
334	1	0	2401551	44300000.00	0.00	0.00	44300000.00	44300000.00	0.00	23886236.15	
275	1	0	2401552	65000000.00	44739568.80	0.00	20260431.20	20260431.20	44739568.80	65000000.00	
953	2	0	2401553							1334319296.45	
346	1	0	2401554	24000000.00	14971864.94	0.00	9028135.06	9028135.06	14971864.94	15818190.00	
280	2	0	2401557							565337856.08	
341	1	0	2401558	15000000.00	11724631.80	0.00	3275368.20	3275368.20	11724631.80	15000000.00	
346	1	0	2401560	100000000.00	86297385.71	0.00	13702614.29	13702614.29	86297385.71	0.00	
265	1	0	2401562	12000000.00	5876255.54	0.00	6123744.46	6123744.46	5876255.54	7000000.00	
953	1	0	2401564	400000000.00	304003771.53	0.00	95996228.47	95996228.47	304003771.53	0.00	
265	1	0	2401570	15500000.00	0.00	0.00	15500000.00	15500000.00	0.00	8620161.94	
210	1	0	2401574	25000000.00	17780114.53	0.00	7219885.47	7219885.47	0.00	35720295.60	
322	1	0	2401579	25000000.00	0.00	0.00	0.00	0.00	0.00	57319515.92	
250	1	0	2401582	65000000.00	21212995.57	0.00	43787004.43	43787004.43	21212995.57	65000000.00	
210	1	0	2401583	12000000.00	0.00	0.00	0.00	0.00	0.00	12000000.00	
660	1	0	2401585	6000000.00	0.00	0.00	6000000.00	6000000.00	0.00	0.00	
210	1	0	2401588	15000000.00	3751152.42	0.00	11248847.58	11248847.58	3751152.42	15000000.00	
290	1	0	2401590	17000000.00	0.00	0.00	17000000.00	17000000.00	0.00	15780326.30	
265	1	0	2401596	20000000.00	0.00	0.00	0.00	0.00	0.00	20000000.00	
297	1	0	2401598	58000000.00	14287094.32	0.00	43712905.68	43712905.68	14287094.32	75653509.41	
280	1	0	2401601	25000000.00	12637879.73	0.00	12362120.27	12362120.27	12637879.73	25000000.00	
230	1	0	2401607	125000000.00	67595935.68	0.00	57404064.32	57404064.32	67595935.68	200613427.75	
905	1	0	2401608	60000000.00	58842806.21	0.00	1157193.79	1157193.79	36837627.24	92487808.60	
255	1	0	2401609	97000000.00	49968223.74	0.00	47031776.26	47031776.26	25312867.85	0.00	
660	1	0	2401611	21000000.00	4172042.96	0.00	16827957.04	16827957.04	4172042.96	81214340.52	
541	1	0	2401619	55000000.00	42972779.76	0.00	12027220.24	12027220.24	42972779.76	59669454.70	
290	1	0	2401623	150000000.00	98079749.63	0.00	51920250.37	51920250.37	82910259.45	321022281.97	
215	1	0	2401624	50000000.00	22426325.35	0.00	27573674.65	27573674.65	22426325.35	57423680.00	
210	1	0	2401626	21000000.00	19222394.43	0.00	1777605.57	1777605.57	3332236.79	21000000.00	
297	1	0	2401627	22000000.00	9606094.75	0.00	12393905.25	12393905.25	9606094.75	19806803.09	
265	1	0	2401628	10000000.00	5006329.86	0.00	4993670.14	4993670.14	5006329.86	10000000.00	
600	2	0	2401631							49144740.36	
290	1	0	2401632	40000000.00	32536046.03	0.00	7463953.97	7463953.97	32536046.03	96118284.30	
290	1	0	2401633	19500000.00	0.00	0.00	19500000.00	19500000.00	0.00	32397642.11	
290	1	0	2401635	12500000.00	7735785.78	0.00	4764214.22	4764214.22	7735785.78	12500000.00	
480	1	0	2401639	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	5000000.00	
931	1	0	2401640	20000000.00	0.00	0.00	20000000.00	20000000.00	0.00	20000000.00	
345	1	0	2401645	8000000.00	6191702.00	0.00	1808298.00	1808298.00	2448800.00	29322988.80	
345	1	0	2401646	4000000.00	0.00	0.00	4000000.00	4000000.00	0.00	0.00	
303	1	0	2401650	250000000.00	102500000.00	0.00	147500000.00	147500000.00	45893081.62	388858065.60	
290	1	0	2401653	15000000.00	11453356.83	0.00	3546643.17	3546643.17	11453356.83	15000000.00	
290	1	0	2401654	120000000.00	103938873.47	0.00	16061126.53	16061126.53	82719227.15	117104992.97	
953	2	0	2401655							128610092.13	
255	1	0	2401657	25000000.00	19192381.85	0.00	5807618.15	5807618.15	19192381.85	89433805.55	
322	1	0	2401660	55000000.00	12793548.09	0.00	42206451.91	42206451.91	8257068.25	123307440.17	
334	1	0	2401667	17500000.00	2290048.34	0.00	15209951.66	15209951.66	2290048.34	5237928.30	
343	1	0	2401668	20000000.00	318855.64	0.00	19681144.36	19681144.36	318855.64	18836013.30	
377	2	3	2401670							5166900000.00	
341	1	0	2401672	49500000.00	16657236.05	0.00	32842763.95	32842763.95	16506963.83	47281589.87	
322	1	0	2401674	22000000.00	20746052.45	0.00	1253947.55	1253947.55	18501657.24	23592529.66	
953	2	0	2401680							331281237.15	
290	1	0	2401681	5000000.00	2733074.55	0.00	2266925.45	2266925.45	2733074.55	4705544.58	
290	1	0	2401682	13000000.00	8802015.62	0.00	4197984.38	4197984.38	8802015.62	12458997.75	
250	1	0	2401683	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	10000000.00	
215	1	0	2401686	2991000000.00	0.00	0.00	0.00	0.00	0.00	226875638.28	
946	1	0	2401697	55000000.00	31555547.98	0.00	23444452.02	23444452.02	20813926.53	39276273.27	
943	2	3	2401698							0.00	
265	1	0	2401701	20000000.00	9712719.06	0.00	10287280.94	10287280.94	9712719.06	20000000.00	
290	1	0	2401702	30000000.00	16573281.54	0.00	13426718.46	13426718.46	16573281.54	20422117.52	
290	1	0	2401707	4500000.00	0.00	0.00	0.00	0.00	0.00	8785869.51	
297	1	0	2401710	11500000.00	9757382.33	0.00	1742617.67	1742617.67	5272318.55	11500000.00	
295	1	0	2401713	120000000.00	118986858.25	0.00	1013141.75	1013141.75	73405900.15	125244836.09	
290	1	0	2401714	22000000.00	7710334.08	14825.90	14274840.02	14289665.92	7710334.08	21609592.63	
255	1	0	2401716	10000000.00	6095607.08	0.00	3904392.92	3904392.92	6095607.08	10000000.00	
660	1	0	2401718	34000000.00	16264000.80	0.00	17735999.20	17735999.20	16264000.80	23281956.35	
265	1	0	2401722	235000000.00	216493313.31	0.00	18506686.69	18506686.69	145140016.56	275768222.42	
280	1	0	2401724	75000000.00	48427521.95	0.00	26572478.05	26572478.05	39602337.97	129714447.63	
322	1	0	2401734	40000000.00	37884728.54	0.00	2115271.46	2115271.46	29732106.51	75717990.50	
322	1	0	2401744	15000000.00	0.00	0.00	15000000.00	15000000.00	0.00	44561497.06	
250	1	0	2401747	20000000.00	6597949.63	0.00	13402050.37	13402050.37	0.00	20000000.00	
215	1	0	2401749	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	10000000.00	
245	1	0	2401752	0.01	0.00	0.00	0.00	0.00	0.00	831112650.42	
334	1	0	2401753	40000000.00	0.00	0.00	40000000.00	40000000.00	0.00	21837666.45	
302	1	0	2401757	30000000.00	0.00	0.00	30000000.00	30000000.00	0.00	30000000.00	
334	1	0	2401760	35000000.00	15302027.99	0.00	19697972.01	19697972.01	15302027.99	0.00	
280	2	0	2401761							277856802.71	
345	1	0	2401762	10000000.00	8949998.12	0.00	1050001.88	1050001.88	8949998.12	9000000.00	
953	2	0	2401765							238092379.47	
660	1	0	2401767	15000000.00	5743858.41	0.00	9256141.59	9256141.59	5700170.00	11534112.00	
660	1	0	2401768	15000000.00	9595905.83	0.00	5404094.17	5404094.17	9595905.83	15000000.00	
660	1	0	2401769	5500000.00	0.00	0.00	5500000.00	5500000.00	0.00	3929187.50	
250	1	0	2401773	24000000.00	15419832.29	0.00	8580167.71	8580167.71	14082449.33	24000000.00	
660	1	0	2401775	15000000.00	2742217.32	0.00	12257782.68	12257782.68	2742217.32	0.00	
346	1	0	2401777	11000000.00	0.00	0.00	11000000.00	11000000.00	0.00	7013360.00	
345	1	0	2401781	15000000.00	2142857.10	0.00	12857142.90	12857142.90	2142857.10	0.00	
660	1	0	2401782	35000000.00	0.00	0.00	35000000.00	35000000.00	0.00	0.00	
943	2	0	2401784							0.00	
322	1	0	2401786	10000000.00	8081217.53	0.00	1918782.47	1918782.47	8007944.43	29779382.08	
265	1	0	2401789	10000000.00	4545060.56	0.00	5454939.44	5454939.44	4545060.56	10000000.00	
290	1	0	2401791	12300000.00	9605584.14	0.00	2694415.86	2694415.86	6180527.85	9913564.20	
290	1	0	2401792	11000000.00	9779079.45	0.00	1220920.55	1220920.55	0.00	39343191.59	
346	1	0	2401793	339000000.00	0.00	0.00	0.00	0.00	0.00	135326895.46	
250	1	0	2401795	25000000.00	6166666.67	0.00	18833333.33	18833333.33	3500000.00	25000000.00	
230	1	0	2401796	600000000.00	238969511.65	0.00	361030488.35	361030488.35	221818138.75	0.00	
660	1	0	2401799	149000000.00	143268558.94	0.00	5731441.06	5731441.06	135056286.79	169438997.23	
346	1	0	2401803	20000000.00	4270310.29	0.00	15729689.71	15729689.71	4270310.29	0.00	
290	1	0	2401804	45000000.00	17807076.41	0.00	27192923.59	27192923.59	13111478.48	115496719.31	
297	1	0	2401810	156000000.00	98886313.86	0.00	57113686.14	57113686.14	86632569.26	245061042.80	
660	1	0	2401811	50000000.00	41090184.74	0.00	8909815.26	8909815.26	39525746.79	63751250.36	
346	1	0	2401817	35000000.00	29462588.16	0.00	5537411.84	5537411.84	25364431.94	0.00	
341	1	0	2401818	160000000.00	127528358.32	0.00	32471641.68	32471641.68	116794118.12	0.00	
230	1	0	2401820	33000000.00	26213453.30	0.00	6786546.70	6786546.70	0.00	0.00	
322	1	0	2401822	20000000.00	8652681.03	0.00	11347318.97	11347318.97	8599561.73	188840403.26	
215	1	0	2401825	10000000.00	3543098.87	0.00	6456901.13	6456901.13	3543098.87	10000000.00	
660	1	0	2401826	28000000.00	23489417.02	0.00	4510582.98	4510582.98	21865773.82	16748384.25	
660	1	0	2401827	9600000.00	4876939.10	0.00	4723060.90	4723060.90	4876939.10	5962923.13	
250	1	0	2401832	25000000.00	13017023.58	0.00	11982976.42	11982976.42	13017023.58	24827901.39	
660	1	0	2401833	20000000.00	1906369.26	0.00	18093630.74	18093630.74	0.00	20000000.00	
215	1	0	2401838	89000000.00	75322692.66	0.00	13677307.34	13677307.34	59833073.13	0.00	
297	1	0	2401846	150000000.00	6904132.90	0.00	143095867.10	143095867.10	6904132.90	159677528.98	
346	1	0	2401847	175000000.00	140444135.72	0.00	34555864.28	34555864.28	116013520.38	135028439.03	
290	1	0	2401848	12000000.00	0.00	0.00	12000000.00	12000000.00	0.00	11430117.04	
346	1	0	2401849	17000000.00	6623681.54	0.00	10376318.46	10376318.46	5215969.20	0.00	
334	2	0	2401850							3764329568.06	
345	1	0	2401852	10000000.00	0.00	0.00	10000000.00	10000000.00	0.00	0.00	
660	1	0	2401853	26000000.00	7758348.81	0.00	18241651.19	18241651.19	7758348.81	14129415.54	
215	1	0	2401854	50000000.00	14477089.54	0.00	35522910.46	35522910.46	14477089.54	50000000.00	
297	1	0	2401857	50000000.00	8084505.19	0.00	41915494.81	41915494.81	0.00	50000000.00	
660	1	0	2401859	60000000.00	32302745.85	0.00	27697254.15	27697254.15	32302745.85	145693921.76	
660	1	0	2401861	15000000.00	11410734.05	0.00	3589265.95	3589265.95	8257339.11	8734709.70	
290	1	0	2401862	20000000.00	8130256.25	0.00	11869743.75	11869743.75	8130256.25	38777519.48	
322	1	0	2401863	22000000.00	12718513.15	0.00	9281486.85	9281486.85	12718513.15	25403789.95	
230	1	0	2401864	150000000.00	60423263.47	0.00	89576736.53	89576736.53	60423263.47	147475598.48	
255	1	0	2401865	20000000.00	639946.95	0.00	19360053.05	19360053.05	639946.95	78822204.79	
290	1	0	2401866	100000000.00	90049991.88	0.00	9950008.12	9950008.12	90049991.88	46896821.76	
660	1	0	2401868	25000000.00	0.00	0.00	25000000.00	25000000.00	0.00	0.00	
